Unique_ID,Date_Taken,Time_Taken,Time_Spent,Q1_Role_Title?,Q2_switch_careers?,Q3_Yearly_Salary,Q4_Industry,Q5_Programming_Language,Q6_Salary_Satisfaction,Q7_Work/Life_Balance_Satisfaction,Q8_Coworkers_Satisfaction,Q9_Management_Satisfaction,Q10_Upward_Mobility_Satisfaction,Q11_Learning_Opportunities_Satisfaction,Q12_Difficulty_Level_Entry_to_Data,Q13_Most_Important_Aspect_New_Job,Q14_Gender,Q15_Age,Q16_Country_of_Recidency,Q17_Education_Level,Q18_Ethnicity
62a33dfbd8c00e9f5419ceda,6/10/2022,8:50,0:01:35,Data Analyst,Yes,125000,Tech,SQL,10.0,5.0,10.0,6.0,10.0,10.0,Neither easy nor difficult,Remote Work,Female,31,US,No Awnser,White or Caucasian
62a33e38f3072dd8926221d3,6/10/2022,8:51,0:01:25,Data Analyst,Yes,40000,Healthcare,Python,5.0,6.0,8.0,8.0,7.0,1.0,Neither easy nor difficult,Remote Work,Male,28,AZ,No Awnser,White or Caucasian
62a33e54d8c00e9f5419cfe9,6/10/2022,8:51,0:01:47,Data Analyst,No,40000,Finance,Python,4.0,4.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,32,AR,No Awnser,Hispanic or Latino
62a33e62575fa3a5ae88aabf,6/10/2022,8:51,0:02:14,Data Analyst,No,40000,Tech,Python,7.0,8.0,8.0,8.0,3.0,8.0,Easy,Better Salary,Male,24,SS,No Awnser,Black or African American
62a33e63cec54911e9ca4f99,6/10/2022,8:51,0:02:21,Data Analyst,No,40000,Tech,Python,4.0,6.0,6.0,6.0,7.0,7.0,Easy,Good Work/Life Balance,Male,31,IN,No Awnser,Asian or Asian American
62a33e72bae91e4b8b82ea1a,6/10/2022,8:52,0:02:07,Data Analyst,No,85000,Insurance,SQL,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Other (Please Specify):Responsibilities,Male,23,US,No Awnser,White or Caucasian
62a33e890f8c8599d5af13b9,6/10/2022,8:52,0:01:20,Data Analyst,Yes,125000,Utilities,Python,1.0,6.0,9.0,1.0,0.0,2.0,Difficult,Remote Work,Female,33,US,No Awnser,Asian or Asian American
62a33e8bf8d5efcc22f7c79a,6/10/2022,8:52,0:01:34,Data Analyst,No,105000,Healthcare,Qlik,6.0,7.0,7.0,7.0,7.0,4.0,Very Easy,Better Salary,Male,43,US,No Awnser,White or Caucasian
62a33e90cec54911e9ca5031,6/10/2022,8:52,0:01:34,Student,Yes,40000,Utilities,R,0.0,0.0,5.0,0.0,0.0,0.0,Very Difficult,Remote Work,Female,23,NG,No Awnser,Other (Please Specify):African
62a33e9df8f756164585277b,6/10/2022,8:52,0:01:47,Student,Yes,65000,Finance,Python,10.0,7.0,10.0,10.0,5.0,3.0,Very Difficult,Good Work/Life Balance,Male,31,US,No Awnser,Black or African American
62a33eb6bc6861bf3176c5a3,6/10/2022,8:53,0:01:38,Data Analyst,Yes,85000,Finance,Python,5.0,6.0,7.0,5.0,4.0,4.0,Neither easy nor difficult,Other (Please Specify):Development,Male,31,UK,No Awnser,White or Caucasian
62a33ee0bae91e4b8b82eaec,6/10/2022,8:53,0:03:30,Data Analyst,Yes,40000,Other,Python,8.0,7.0,8.0,7.0,7.0,7.0,Difficult,Good Work/Life Balance,Male,25,IN,No Awnser,Asian or Asian American
62a33ee80f8c8599d5af14b7,6/10/2022,8:54,0:01:37,Data Engineer,No,150000,Tech,SQL,8.0,10.0,10.0,9.0,9.0,9.0,Easy,Better Salary,Male,43,US,No Awnser,White or Caucasian
62a33efe0a77c1a77f65bf1e,6/10/2022,8:54,0:02:08,Data Analyst,No,65000,Finance,Python,2.0,3.0,5.0,5.0,5.0,5.0,Difficult,Better Salary,Female,26,CA,No Awnser,Other (Please Specify):South Asian
62a33f0ef408bae018ed3aeb,6/10/2022,8:54,0:03:54,Data Analytst,No,65000,Automotive,Python,5.0,10.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Remote Work,Male,32,JP,No Awnser,White or Caucasian
62a33f17f8f7561645852867,6/10/2022,8:54,0:02:28,Developer,No,40000,Tech,Python,2.0,9.0,7.0,7.0,5.0,6.0,Difficult,Better Salary,Male,31,GR,No Awnser,White or Caucasian
62a33f52bc6861bf3176c72c,6/10/2022,8:55,0:01:33,Data Analyst,Yes,105000,Healthcare,SQL,3.0,5.0,6.0,4.0,4.0,5.0,Neither easy nor difficult,Better Salary,Male,29,US,No Awnser,White or Caucasian
62a33f56cf255543173005e9,6/10/2022,8:55,0:00:56,Data Analyst,Yes,40000,Automotive,Python,3.0,1.0,3.0,2.0,3.0,1.0,Neither easy nor difficult,Good Culture,Male,24,Other,No Awnser,Hispanic or Latino
62a33f5a5d257a28a30d7bb5,6/10/2022,8:55,0:02:38,Student,Yes,65000,Construction,Python,2.0,0.0,2.0,2.0,0.0,0.0,Very Difficult,Remote Work,Male,34,US,No Awnser,White or Caucasian
62a33fa5cec54911e9ca51f1,6/10/2022,8:57,0:01:52,Data Analyst,Yes,65000,Utilities,SQL,5.0,6.0,6.0,5.0,4.0,6.0,Very Difficult,Better Salary,Male,42,AU,No Awnser,Other (Please Specify):Indian
62a33fcb575fa3a5ae88ad59,6/10/2022,8:57,0:02:03,Student,Yes,40000,Student,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,Remote Work,Female,40,US,No Awnser,Asian or Asian American
62a33fcf18134ddc75ce91c3,6/10/2022,8:57,0:02:32,Student,No,65000,Telecommunication,Python,3.0,1.0,3.0,4.0,0.0,3.0,Easy,Good Work/Life Balance,Male,43,Other,No Awnser,White or Caucasian
62a34006d8c00e9f5419d341,6/10/2022,8:58,0:02:39,Student,Yes,40000,Construction,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Better Salary,Male,23,KE,No Awnser,Other (Please Specify):Kenyan African 
62a34020575fa3a5ae88ade0,6/10/2022,8:59,0:01:11,Student,Yes,40000,Education,Python,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,Better Salary,Male,23,JP,No Awnser,Asian or Asian American
62a34038b4da29969c62eafe,6/10/2022,8:59,0:03:55,Data Analyst,Yes,105000,Manufacturing,Python,8.0,6.0,2.0,3.0,6.0,7.0,Neither easy nor difficult,"Other (Please Specify):Strong organizational data strategy, high-performing team",Male,28,US,No Awnser,White or Caucasian
62a3406b575fa3a5ae88ae78,6/10/2022,9:00,0:01:25,Data Analyst,No,85000,Finance,SQL,5.0,7.0,1.0,1.0,0.0,8.0,Neither easy nor difficult,Better Salary,Male,32,US,No Awnser,White or Caucasian
62a340cab4da29969c62ec01,6/10/2022,9:02,0:02:47,Data Analyst,Yes,85000,Manufacturing,R,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,Remote Work,Female,41,US,No Awnser,White or Caucasian
62a340d62e54c9003e5324b4,6/10/2022,9:02,0:00:56,Data Analyst,Yes,65000,Finance,Python,5.0,6.0,6.0,6.0,6.0,6.0,Neither easy nor difficult,Remote Work,Male,33,UK,High School,White or Caucasian
62a340e10a77c1a77f65c2e7,6/10/2022,9:02,0:01:57,Manager,Yes,225000,Tech,Python,10.0,8.0,9.0,8.0,8.0,10.0,Easy,Good Work/Life Balance,Male,38,US,No Awnser,Hispanic or Latino
62a340f5bc6861bf3176caa4,6/10/2022,9:02,0:02:32,Data Analyst,No,40000,Tech,SQL,8.0,8.0,8.0,8.0,5.0,10.0,Easy,Better Salary,Female,22,IN,No Awnser,Other (Please Specify):Indian
62a34117cec54911e9ca54e7,6/10/2022,9:03,0:01:59,Student,Yes,40000,Student,R,1.0,3.0,6.0,6.0,6.0,9.0,Difficult,Remote Work,Male,36,BB,Bachelors,Black or African American
62a3413a5d257a28a30d8074,6/10/2022,9:03,0:01:18,Data Engineer,No,85000,Finance,Python,2.0,1.0,1.0,1.0,3.0,7.0,Easy,Remote Work,Female,28,US,Masters,Asian or Asian American
62a341a1f3072dd8926229a5,6/10/2022,9:05,0:08:11,Student,Yes,40000,Education,SQL,,,,,,7.0,Very Easy,Other (Please Specify):I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,30,ZA,No Awnser,"Other (Please Specify):Black African, Zimbabwean Citizen"
62a341b0f8f7561645852d1d,6/10/2022,9:05,0:01:44,Data Analyst,Yes,85000,Tech,Python,6.0,6.0,6.0,6.0,5.0,6.0,Difficult,Other (Please Specify):Currently very happy with where I am.,Female,24,US,Bachelors,Hispanic or Latino
62a341e8f8d5efcc22f7d002,6/10/2022,9:06,0:01:58,Business Analyst,No,65000,Logistics,C/C++,3.0,6.0,7.0,7.0,0.0,3.0,Very Difficult,Better Salary,Male,29,US,Bachelors,White or Caucasian
62a34210cf25554317300c02,6/10/2022,9:07,0:02:15,Data Analyst,No,40000,Tech,Python,4.0,9.0,10.0,9.0,9.0,10.0,Easy,Better Salary,Male,29,CO,Associates,Hispanic or Latino
62a3424eb4da29969c62eedd,6/10/2022,9:08,0:02:04,Business Analyst,Yes,65000,Automotive,Python,6.0,8.0,8.0,7.0,9.0,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,38,DE,Masters,White or Caucasian
62a34256bae91e4b8b82f16d,6/10/2022,9:08,0:01:46,Data Analyst,Yes,40000,Finance,None,3.0,5.0,4.0,3.0,3.0,3.0,Difficult,Good Work/Life Balance,Male,31,BG,Masters,White or Caucasian
62a3426cf408bae018ed409b,6/10/2022,9:09,0:01:33,Student,No,40000,Tech,Python,1.0,4.0,5.0,5.0,1.0,1.0,Difficult,Better Salary,Male,25,US,Masters,White or Caucasian
62a34272f8d5efcc22f7d15f,6/10/2022,9:09,0:01:09,Data Analyst,No,85000,Telecommunication,Python,4.0,6.0,4.0,5.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,24,US,Masters,White or Caucasian
62a34340bc6861bf3176d05b,6/10/2022,9:12,0:04:03,Consultant,Yes,65000,Tech,Python,6.0,7.0,4.0,3.0,9.0,8.0,Difficult,Better Salary,Male,28,TR,Bachelors,White or Caucasian
62a34383b4da29969c62f1be,6/10/2022,9:13,0:01:03,Student,No,40000,Tech,Python,7.0,5.0,8.0,0.0,0.0,0.0,Neither easy nor difficult,Good Culture,Female,23,IN,Bachelors,Asian or Asian American
62a34389cec54911e9ca5a22,6/10/2022,9:13,0:01:01,Data Engineer,No,40000,Tech,R,2.0,3.0,2.0,5.0,5.0,7.0,Neither easy nor difficult,Remote Work,Male,21,Other,Masters,Hispanic or Latino
62a343a22e54c9003e532a2a,6/10/2022,9:14,0:02:43,Data Analyst,No,40000,Utilities,Python,4.0,4.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Remote Work,Male,29,FR,Bachelors,Other (Please Specify):Human
62a343d9f3072dd892622fe4,6/10/2022,9:15,0:03:15,Data Analyst,Yes,65000,Tech,Python,5.0,6.0,7.0,7.0,7.0,6.0,Difficult,Better Salary,Male,25,US,Bachelors,Asian or Asian American
62a34400d8c00e9f5419dc2b,6/10/2022,9:15,0:01:24,Data Analyst,No,65000,Tech,Python,6.0,6.0,6.0,6.0,3.0,5.0,Difficult,Good Culture,Male,27,DE,Masters,Black or African American
62a34425f8d5efcc22f7d525,6/10/2022,9:16,0:01:28,Data Analyst,Yes,65000,Tech,Python,3.0,9.0,10.0,8.0,9.0,9.0,Easy,Better Salary,Male,23,IN,Bachelors,Asian or Asian American
62a34449575fa3a5ae88b637,6/10/2022,9:16,0:02:36,Supply Chain Analyst,No,105000,Food & Beverage,R,4.0,3.0,3.0,5.0,5.0,5.0,Difficult,Better Salary,Male,32,US,Masters,Asian or Asian American
62a3445dcf255543173011e1,6/10/2022,9:17,0:02:41,Student,Yes,125000,Healthcare,Python,5.0,5.0,7.0,5.0,7.0,7.0,Neither easy nor difficult,Remote Work,Male,22,IN,Bachelors,Asian or Asian American
62a3447a575fa3a5ae88b6c0,6/10/2022,9:17,0:04:14,Data Analyst,No,40000,Tech,Python,2.0,9.0,9.0,8.0,6.0,2.0,Easy,Better Salary,Male,25,TH,Bachelors,Asian or Asian American
62a3449f7dc029e2d66bf5d1,6/10/2022,9:18,0:01:15,Data Analyst,Yes,40000,Telecommunication,Python,2.0,8.0,6.0,6.0,5.0,5.0,Neither easy nor difficult,Remote Work,Female,36,DE,Masters,White or Caucasian
62a344c5f408bae018ed4806,6/10/2022,9:19,0:02:21,Data Analyst,Yes,125000,Tech,SQL,10.0,6.0,9.0,5.0,8.0,7.0,Easy,Good Work/Life Balance,Female,27,US,Bachelors,White or Caucasian
62a344c6f8d5efcc22f7d6e1,6/10/2022,9:19,0:02:17,Business Analyst,Yes,40000,Tech,Python,5.0,5.0,5.0,5.0,5.0,1.0,Neither easy nor difficult,Other (Please Specify):My passion is to become a Data analyst ,Male,23,IN,Bachelors,Asian or Asian American
62a344e1f3072dd892623328,6/10/2022,9:19,0:01:32,Student,Yes,40000,Tech,SQL,2.0,3.0,3.0,3.0,3.0,6.0,Very Difficult,Better Salary,Male,26,NL,Bachelors,Black or African American
62a3450424a262602738357f,6/10/2022,9:20,0:01:19,Director,No,105000,Healthcare,Python,9.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Good Work/Life Balance,Female,33,US,PhD,Hispanic or Latino
62a3452818134ddc75ce9e1b,6/10/2022,9:20,0:01:33,Data Analyst,Yes,125000,Automotive,Python,3.0,5.0,3.0,3.0,5.0,5.0,Easy,Better Salary,Male,27,TR,Masters,White or Caucasian
62a345490a77c1a77f65cc5b,6/10/2022,9:21,0:01:38,Data Analyst,Yes,65000,Education,R,3.0,6.0,5.0,4.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,42,US,Associates,White or Caucasian
62a3455bbc6861bf3176d57a,6/10/2022,9:21,0:02:36,Data Analyst,Yes,40000,Tech,Python,6.0,7.0,8.0,7.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29,Other,Masters,White or Caucasian
62a3457bf8d5efcc22f7da17,6/10/2022,9:22,0:01:08,Data Analyst,No,150000,Tech,Python,4.0,7.0,6.0,4.0,2.0,4.0,Easy,Better Salary,Female,27,US,Masters,Asian or Asian American
62a345b2bae91e4b8b82fad6,6/10/2022,9:22,0:01:41,Student,No,65000,Healthcare,Python,0.0,10.0,10.0,10.0,4.0,2.0,Neither easy nor difficult,Remote Work,Female,39,US,Bachelors,Hispanic or Latino
62a345c47dc029e2d66bf80a,6/10/2022,9:23,0:01:36,Data Analyst,Yes,65000,Telecommunication,Python,6.0,6.0,7.0,5.0,6.0,7.0,Difficult,Good Culture,Male,31,DK,Masters,White or Caucasian
62a345e25d257a28a30d8b43,6/10/2022,9:23,0:03:09,Data Analyst,Yes,85000,Marketing,Python,7.0,7.0,5.0,9.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29,BZ,Bachelors,Hispanic or Latino
62a34646f8d5efcc22f7dc5c,6/10/2022,9:25,0:01:22,Data Analyst,Yes,85000,Education,R,7.0,7.0,7.0,7.0,4.0,7.0,Easy,Remote Work,Male,31,US,Masters,White or Caucasian
62a34687f408bae018ed4c52,6/10/2022,9:26,0:01:30,Data Analyst,Yes,40000,Finance,Python,10.0,9.0,9.0,10.0,9.0,10.0,Neither easy nor difficult,Good Culture,Male,30,MX,Masters,Hispanic or Latino
62a346a37dc029e2d66bfa6d,6/10/2022,9:26,0:03:05,Data Engineer,Yes,40000,Tech,Python,7.0,8.0,6.0,5.0,5.0,9.0,Difficult,Better Salary,Male,33,MX,Masters,Hispanic or Latino
62a346a95d257a28a30d8cb9,6/10/2022,9:27,0:00:58,Data Analyst,No,85000,Retail,Python,7.0,8.0,9.0,7.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,25,US,Bachelors,White or Caucasian
62a346b4bc6861bf3176d7ce,6/10/2022,9:27,0:01:09,Student,No,40000,Tech,R,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,23,IN,Bachelors,Other (Please Specify):Indian
62a346cef8f756164585385b,6/10/2022,9:27,0:01:51,Data Analyst,Yes,65000,Marketing,None,4.0,4.0,3.0,3.0,5.0,6.0,Very Difficult,Better Salary,Male,33,US,Bachelors,Asian or Asian American
62a346d724a2626027383abd,6/10/2022,9:27,0:02:29,Business Analyst,Yes,85000,Logistics,Python,7.0,9.0,9.0,8.0,8.0,9.0,Neither easy nor difficult,Good Work/Life Balance,Male,35,CL,Bachelors,Hispanic or Latino
62a346d90a77c1a77f65d08d,6/10/2022,9:27,0:02:39,Data Analyst,No,65000,Recruitment,Python,6.0,8.0,5.0,,6.0,9.0,Neither easy nor difficult,Remote Work,Female,42,GR,Masters,White or Caucasian
62a34726f8d5efcc22f7dec7,6/10/2022,9:29,0:01:14,Data Analyst,No,85000,Tech,Python,3.0,4.0,2.0,1.0,0.0,4.0,Neither easy nor difficult,Better Salary,Male,25,US,Bachelors,White or Caucasian
62a3476c5d257a28a30d8e6d,6/10/2022,9:30,0:03:00,Data Analyst,No,105000,Automotive,Python,5.0,4.0,5.0,4.0,3.0,6.0,Neither easy nor difficult,"Other (Please Specify):Different job title, either product owner or consulting",Male,23,US,Bachelors,White or Caucasian
62a347b4f8f7561645853a98,6/10/2022,9:31,0:02:02,Manager,No,65000,Healthcare,JavaScript,2.0,4.0,6.0,5.0,3.0,4.0,Easy,Better Salary,Female,51,US,Bachelors,Black or African American
62a347f6b4da29969c62fb79,6/10/2022,9:32,0:01:45,Data Analyst,No,40000,Telecommunication,Other,1.0,4.0,4.0,3.0,2.0,6.0,Very Difficult,Better Salary,Male,30,UK,Bachelors,Black or African American
62a3483018134ddc75cea4e6,6/10/2022,9:33,0:01:41,Data Analyst,Yes,65000,Finance,Python,8.0,9.0,9.0,9.0,9.0,8.0,Very Difficult,Better Salary,Male,23,IN,Bachelors,Asian or Asian American
62a348650f8c8599d5af2b77,6/10/2022,9:34,0:01:06,Analyst,Yes,65000,Marketing,R,3.0,5.0,5.0,6.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,24,CA,Bachelors,Asian or Asian American
62a3489318134ddc75cea659,6/10/2022,9:35,0:01:06,Student,Yes,65000,Tech,Python,6.0,6.0,6.0,6.0,6.0,6.0,Easy,Good Culture,Male,25,AU,Masters,Asian or Asian American
62a348bf2e54c9003e533634,6/10/2022,9:35,0:02:22,Data Analyst,Yes,65000,Finance,Python,4.0,4.0,6.0,4.0,5.0,6.0,Difficult,Better Salary,Female,55,US,Masters,Other (Please Specify):Race isn't a thing
62a348c2f3072dd892623c10,6/10/2022,9:36,0:01:56,Data Analyst,No,105000,Biotech,R,8.0,10.0,8.0,7.0,8.0,10.0,Very Easy,Remote Work,Female,30,US,Masters,White or Caucasian
62a348f2f8d5efcc22f7e2ba,6/10/2022,9:36,0:01:10,Data Analyst,Yes,65000,Consulting,Python,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,Better Salary,Male,25,CA,Bachelors,Asian or Asian American
62a349160a77c1a77f65d4db,6/10/2022,9:37,0:00:28,Data Analyst,Yes,85000,Consumer Electronics,Python,6.0,9.0,7.0,6.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,28,US,Masters,White or Caucasian
62a3493fb4da29969c62fe63,6/10/2022,9:38,0:02:22,Analyst,Yes,65000,Consulting,Python,8.0,8.0,9.0,9.0,10.0,10.0,Very Easy,Better Salary,Male,34,UK,Bachelors,White or Caucasian
62a3496e575fa3a5ae88c4e6,6/10/2022,9:38,0:03:18,Data Analyst,Yes,40000,Tech,Python,8.0,10.0,9.0,9.0,10.0,8.0,Neither easy nor difficult,Better Salary,Female,28,CR,Bachelors,Hispanic or Latino
62a3498e575fa3a5ae88c554,6/10/2022,9:39,0:01:55,Student,No,40000,Manufacturing,Other,7.0,9.0,7.0,8.0,8.0,10.0,Neither easy nor difficult,Better Salary,Male,24,VN,Bachelors,Asian or Asian American
62a34991b4da29969c62ff4b,6/10/2022,9:39,0:01:15,Student,Yes,40000,Healthcare,Python,3.0,7.0,7.0,7.0,1.0,2.0,Difficult,Better Salary,Male,31,US,Masters,Black or African American
62a349bbf8f756164585400d,6/10/2022,9:40,0:02:07,Data Analyst,Yes,65000,Supply Chain,SQL,3.0,6.0,6.0,6.0,4.0,4.0,Easy,Better Salary,Male,25,CA,Bachelors,Asian or Asian American
62a349c7cec54911e9ca67c7,6/10/2022,9:40,0:01:05,Data Analyst,Yes,125000,Finance,Python,5.0,1.0,4.0,3.0,3.0,4.0,Easy,Better Salary,Female,38,US,Bachelors,White or Caucasian
62a349d5d8c00e9f5419ead2,6/10/2022,9:40,0:01:32,Data Analyst,No,65000,Finance,Python,5.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,30,NL,Bachelors,Hispanic or Latino
62a349e6b4da29969c63000c,6/10/2022,9:40,0:01:32,Data Analyst,Yes,40000,Tech,C/C++,0.0,0.0,0.0,2.0,2.0,5.0,Neither easy nor difficult,Good Work/Life Balance,Male,25,IN,Bachelors,Asian or Asian American
62a34a03cec54911e9ca6869,6/10/2022,9:41,0:01:08,Data Analyst,Yes,40000,Tech,Python,1.0,2.0,1.0,5.0,6.0,6.0,Neither easy nor difficult,Better Salary,Female,29,NG,Bachelors,Black or African American
62a34ab15d257a28a30d9589,6/10/2022,9:44,0:04:27,Data Scientist,Yes,225000,Finance,Python,7.0,5.0,3.0,6.0,4.0,4.0,Difficult,Good Work/Life Balance,Male,21,PT,Masters,White or Caucasian
62a34abc0f8c8599d5af31c5,6/10/2022,9:44,0:02:00,Data Analyst,Yes,85000,Supply Chain,SQL,5.0,8.0,8.0,7.0,6.0,7.0,Very Easy,Remote Work,Female,39,US,Bachelors,Asian or Asian American
62a34b07cec54911e9ca6b6e,6/10/2022,9:45,0:01:19,Student,No,40000,Other,Python,0.0,0.0,0.0,0.0,0.0,5.0,Neither easy nor difficult,Better Salary,Male,25,TR,Bachelors,White or Caucasian
62a34b0eb4da29969c6302ce,6/10/2022,9:45,0:02:36,Analyst,Yes,105000,Finance,Other,7.0,9.0,10.0,6.0,4.0,4.0,Neither easy nor difficult,Other (Please Specify):Opportunity for advancement ,Female,42,US,Masters,Hispanic or Latino
62a34b1b0f8c8599d5af328b,6/10/2022,9:46,0:00:48,Data Analyst,No,65000,Tech,R,10.0,8.0,9.0,10.0,10.0,10.0,Easy,Better Salary,Male,25,US,Bachelors,White or Caucasian
